TeamID,"Team Name","ottoneu ID","FG MajorLeagueID","FG MinorLeagueID",Name,"MLB Team",Position(s),Salary
10758,"Misiorowski Index",18312,15640,sa549847,"Aaron Judge",NYY,OF,$60
10758,"Misiorowski Index",23327,18401,sa877503,"Ronald Acuña Jr.",ATL,OF,$43
10758,"Misiorowski Index",23859,19251,sa873981,"Pete Alonso",BAL,1B,$34
10758,"Misiorowski Index",18460,13543,sa597786,"Blake Snell",LAD,SP,$27
10758,"Misiorowski Index",33682,22250,sa3008598,"Logan Gilbert",SEA,SP,$22
10758,"Misiorowski Index",5918,5417,sa455591,"Jose Altuve",HOU,2B/OF,$18
10758,"Misiorowski Index",8626,7304,sa392995,"Salvador Perez",KCR,C/1B,$13
10758,"Misiorowski Index",23814,19427,sa873698,"Shane Bieber",TOR,SP,$10
10758,"Misiorowski Index",37216,26323,sa3010586,"Spencer Steer",CIN,1B/2B/OF,$9
10758,"Misiorowski Index",33907,24262,sa3005581,"Ceddanne Rafaela",BOS,2B/OF,$8
10758,"Misiorowski Index",40095,29668,sa3017114,"Marcelo Mayer",BOS,2B/SS/3B,$8
10758,"Misiorowski Index",23792,20220,sa3004837,"Jo Adell",LAA,OF,$8
10758,"Misiorowski Index",20732,18684,sa828383,"Sandy Alcantara",MIA,SP,$8
10758,"Misiorowski Index",37427,26121,sa3010862,"Francisco Alvarez",NYM,C,$7
10758,"Misiorowski Index",23796,20437,sa3004259,"Royce Lewis",MIN,1B/3B,$7
10758,"Misiorowski Index",40262,29712,sa3017170,"Colson Montgomery",CHW,SS/3B,$6
10758,"Misiorowski Index",42711,31623,sa3020644,"Jacob Misiorowski",MIL,SP,$6
10758,"Misiorowski Index",39978,29591,sa3017018,"Colton Cowser",BAL,OF,$6
10758,"Misiorowski Index",23693,16162,sa597893,"Brandon Woodruff",MIL,SP,$5
10758,"Misiorowski Index",35922,25385,sa829799,"Drew Rasmussen",TBR,SP,$5
10758,"Misiorowski Index",31541,20302,sa829588,"David Peterson",CHC,SP/RP,$5
10758,"Misiorowski Index",14941,11486,sa549085,"Robbie Ray",SFG,SP,$5
10758,"Misiorowski Index",26857,22184,sa3004720,"Mark Vientos",NYM,1B/3B,$5
10758,"Misiorowski Index",23834,22515,sa3004693,"Heliot Ramos",SFG,OF,$5
10758,"Misiorowski Index",20435,17998,sa827454,"Pete Fairbanks",MIA,RP,$4
10758,"Misiorowski Index",42666,31776,sa3020593,"Orion Kerkering",PHI,RP,$4
10758,"Misiorowski Index",44534,33850,sa3023499,"Brandon Sproat",MIL,SP,$3
10758,"Misiorowski Index",40266,30038,sa3017795,"Carson Williams","TBR AAA",SS,$3
10758,"Misiorowski Index",40870,30107,sa3017948,"Christian Scott",NYM,SP,$3
10758,"Misiorowski Index",38404,27479,sa3014506,"Masyn Winn",STL,SS,$3
10758,"Misiorowski Index",37239,25636,sa3010621,"Hunter Gaddis",CLE,RP,$3
10758,"Misiorowski Index",35487,20572,sa3008002,"Kody Clemens",MIN,1B/2B/OF,$3
10758,"Misiorowski Index",35205,20423,sa3007594,"Ryan Walker",SFG,RP,$3
10758,"Misiorowski Index",35181,24729,sa3007519,"Logan O'Hoppe",LAA,C,$3
10758,"Misiorowski Index",44539,,sa3023363,"Leo De Vries","ATH AA",SS,$3
10758,"Misiorowski Index",19296,15711,sa737633,"Tyler O'Neill",BAL,OF,$2
10758,"Misiorowski Index",23818,19574,sa917955,"JoJo Romero",STL,RP,$2
10758,"Misiorowski Index",27723,11861,sa548332,"Jason Adam",SDP,RP,$2
10758,"Misiorowski Index",23752,19953,sa917926,"Josh Lowe",LAA,OF,$1
10758,"Misiorowski Index",32966,21224,sa918555,"Bailey Ober","MIN AAA",SP,$1
10759,"Juan Nation UndeGrom 🫡",23717,20123,sa906282,"Juan Soto",NYM,OF,$65
10759,"Juan Nation UndeGrom 🫡",23682,19709,sa919910,"Fernando Tatis Jr.",SDP,2B/OF,$52
10759,"Juan Nation UndeGrom 🫡",18546,18345,sa874240,"Kyle Tucker",LAD,OF,$42
10759,"Juan Nation UndeGrom 🫡",44525,33825,sa3023345,"Yoshinobu Yamamoto",LAD,SP,$33
10759,"Juan Nation UndeGrom 🫡",18124,12856,sa526414,"George Springer",TOR,OF,$23
10759,"Juan Nation UndeGrom 🫡",36509,25976,sa3010694,"Riley Greene",DET,OF,$22
10759,"Juan Nation UndeGrom 🫡",39108,28163,sa3015532,"Junior Caminero",TBR,3B,$20
10759,"Juan Nation UndeGrom 🫡",43896,33333,sa3022654,"Wyatt Langford",TEX,OF,$16
10759,"Juan Nation UndeGrom 🫡",37201,25880,sa3010571,"Hunter Brown",HOU,SP,$14
10759,"Juan Nation UndeGrom 🫡",41042,30279,sa3018290,"Bryan Woo",SEA,SP,$12
10759,"Juan Nation UndeGrom 🫡",45716,35110,sa3025385,"Nick Kurtz",ATH,1B,$12
10759,"Juan Nation UndeGrom 🫡",14294,10954,sa548447,"Jacob DeGrom",TEX,SP,$12
10759,"Juan Nation UndeGrom 🫡",19398,15454,sa737889,"Nick Pivetta",SDP,SP,$8
10759,"Juan Nation UndeGrom 🫡",18506,18314,sa659260,"Dansby Swanson",CHC,SS,$7
10759,"Juan Nation UndeGrom 🫡",42358,31505,sa3020130,"Sal Stewart",CIN,1B/2B/3B,$6
10759,"Juan Nation UndeGrom 🫡",42737,31846,sa3020703,"Spencer Schwellenbach",ATL,SP,$5
10759,"Juan Nation UndeGrom 🫡",44003,33266,sa3022538,"Jacob Wilson",ATH,SS,$5
10759,"Juan Nation UndeGrom 🫡",43589,32095,sa3021981,"Cam Schlittler",NYY,SP,$5
10759,"Juan Nation UndeGrom 🫡",27148,23335,sa3005246,"Joey Cantillo",CLE,SP/RP,$4
10759,"Juan Nation UndeGrom 🫡",34396,24017,sa3006373,"Jose A. Ferrer",SEA,RP,$4
10759,"Juan Nation UndeGrom 🫡",38367,27496,sa3014465,"Owen Caissie",MIA,OF,$4
10759,"Juan Nation UndeGrom 🫡",39288,28824,sa3015716,"Samuel Basallo",BAL,C/1B,$4
10759,"Juan Nation UndeGrom 🫡",44544,33927,sa3023634,"Grant Taylor",CHW,SP/RP,$3
10759,"Juan Nation UndeGrom 🫡",42221,31539,sa3019920,"Drake Baldwin",ATL,C,$3
10759,"Juan Nation UndeGrom 🫡",35602,25327,sa3008177,"Abner Uribe",MIL,RP,$3
10759,"Juan Nation UndeGrom 🫡",40552,29839,sa3017416,"Emmet Sheehan",LAD,SP,$3
10759,"Juan Nation UndeGrom 🫡",23672,20039,sa969093,"Adrian Morejon",SDP,RP,$3
10759,"Juan Nation UndeGrom 🫡",35874,24586,sa3008605,"Kyle Bradish",BAL,SP,$3
10759,"Juan Nation UndeGrom 🫡",23701,12447,sa599698,"Seth Lugo",KCR,SP,$3
10759,"Juan Nation UndeGrom 🫡",26198,22799,sa3003290,"Geraldo Perdomo",ARI,SS,$3
10759,"Juan Nation UndeGrom 🫡",44057,33321,sa3022614,"Luke Keaschall",MIN,2B/OF,$3
10759,"Juan Nation UndeGrom 🫡",44248,33575,sa3022923,"Colt Emerson",SEA,SS/3B,$2
10759,"Juan Nation UndeGrom 🫡",33607,22286,sa3005423,"Trevor Rogers",BAL,SP,$2
10759,"Juan Nation UndeGrom 🫡",35541,21842,sa3008079,"Carlos Cortes",ATH,OF,$2
10759,"Juan Nation UndeGrom 🫡",41160,,sa3018409,"Lazaro Montes","SEA AA",OF,$1
10759,"Juan Nation UndeGrom 🫡",38813,28901,sa3015163,"Wilber Dotel","PIT AA",SP/RP,$1
10759,"Juan Nation UndeGrom 🫡",18383,14854,sa503161,"Mike Yastrzemski",ATL,OF,$1
10759,"Juan Nation UndeGrom 🫡",33672,23550,sa3007225,"Aaron Ashby",MIL,RP,$1
10759,"Juan Nation UndeGrom 🫡",45708,34979,sa3025168,"Christian Moore","LAA AAA",2B/3B,$1
10759,"Juan Nation UndeGrom 🫡",38328,27468,sa3014425,"Reid Detmers",LAA,SP/RP,$1
10761,"NBC Andy Pages Program",43894,33677,sa3023079,"Paul Skenes",PIT,SP,$60
10761,"NBC Andy Pages Program",18284,13510,sa598784,"José Ramírez",CLE,3B,$47
10761,"NBC Andy Pages Program",18122,12916,sa597754,"Francisco Lindor",NYM,SS,$43
10761,"NBC Andy Pages Program",18236,14374,sa597835,"Tyler Glasnow",LAD,SP,$30
10761,"NBC Andy Pages Program",39277,28806,sa3015704,"Jackson Chourio",MIL,OF,$25
10761,"NBC Andy Pages Program",18276,13611,sa597889,"Mookie Betts",LAD,SS,$24
10761,"NBC Andy Pages Program",31741,18882,sa874181,"Brandon Lowe",PIT,2B,$12
10761,"NBC Andy Pages Program",37300,25961,sa3010689,"Kerry Carpenter",DET,OF,$11
10761,"NBC Andy Pages Program",40505,29478,sa3017339,"Carter Jensen",KCR,C,$9
10761,"NBC Andy Pages Program",23813,19361,sa873673,"Corbin Burnes",ARI,SP,$8
10761,"NBC Andy Pages Program",40508,29794,sa3017342,"Kyle Manzardo",CLE,1B,$7
10761,"NBC Andy Pages Program",33949,24816,sa3005625,"Andy Pages",LAD,OF,$6
10761,"NBC Andy Pages Program",38320,27465,sa3014504,"Spencer Torkelson",DET,1B,$6
10761,"NBC Andy Pages Program",38361,27863,sa3014459,"Jared Jones",PIT,SP,$5
10761,"NBC Andy Pages Program",47553,,sa3026056,"Kade Anderson","SEA AA",SP,$5
10761,"NBC Andy Pages Program",37091,26477,sa1115496,"Spencer Horwitz",PIT,1B,$5
10761,"NBC Andy Pages Program",40564,29868,sa3017428,"Bubba Chandler",PIT,SP,$4
10761,"NBC Andy Pages Program",45706,35333,sa3028086,"Chase Burns",CIN,SP/RP,$4
10761,"NBC Andy Pages Program",45720,35041,sa3025245,"Jac Caglianone",KCR,1B/OF,$4
10761,"NBC Andy Pages Program",43879,33527,sa3022942,"Hurston Waldrep",ATL,SP,$3
10761,"NBC Andy Pages Program",45769,35376,sa3065496,"Konnor Griffin",PIT,SS,$3
10761,"NBC Andy Pages Program",5644,10233,sa523977,"Aroldis Chapman",BOS,RP,$3
10761,"NBC Andy Pages Program",35566,21455,sa3008128,"Kris Bubic",KCR,SP,$3
10761,"NBC Andy Pages Program",35776,23793,sa3008470,"Braxton Ashcraft",PIT,SP/RP,$3
10761,"NBC Andy Pages Program",31438,20253,sa738570,"Griffin Jax",TBR,SP/RP,$3
10761,"NBC Andy Pages Program",38308,27464,sa3014528,"Dillon Dingler",DET,C,$3
10761,"NBC Andy Pages Program",38314,27490,sa3014510,"Nick Gonzales",PIT,2B/SS/3B,$3
10761,"NBC Andy Pages Program",33616,20492,sa3008444,"Casey Mize",DET,SP,$3
10761,"NBC Andy Pages Program",20989,17722,sa828803,"Trevor Megill",MIL,RP,$2
10761,"NBC Andy Pages Program",21075,17586,sa829027,"Tanner Scott",LAD,RP,$2
10761,"NBC Andy Pages Program",42716,,sa3020659,"Karson Milbrandt","MIA AAA",SP,$2
10761,"NBC Andy Pages Program",42299,31448,sa3020006,"Henry Bolte",ATH,OF,$2
10761,"NBC Andy Pages Program",38316,28199,sa3014537,"Blaze Jordan",STL,1B/3B,$2
10761,"NBC Andy Pages Program",40456,29766,sa3017286,"Zack Gelof",ATH,2B/3B/OF,$2
10761,"NBC Andy Pages Program",38383,27577,sa3014484,"Casey Schmitt",SFG,1B/2B/3B/OF,$2
10761,"NBC Andy Pages Program",35532,25007,sa3008070,"Alex Vesia",LAD,RP,$1
10761,"NBC Andy Pages Program",19136,19677,sa737262,"Gregory Soto",PIT,RP,$1
10761,"NBC Andy Pages Program",38403,27572,sa3014505,"Carmen Mlodzinski",PIT,SP/RP,$1
10761,"NBC Andy Pages Program",18504,19374,sa658292,"Walker Buehler",SDP,SP,$1
10761,"NBC Andy Pages Program",38410,27758,sa3014513,"Kyle Harrison",MIL,SP/RP,$1
10761,"NBC Andy Pages Program",39340,29005,sa3015768,"Esmerlyn Valdez",PIT,OF,$1
10761,"NBC Andy Pages Program",40472,29770,sa3017306,"Mason Montgomery",PIT,RP,$1
10761,"NBC Andy Pages Program",18522,15194,sa737848,"Jake Bauers",MIL,1B/OF/RP,$1
10764,"Wrecking Crews",18164,13743,sa657860,"Max Fried",NYY,SP,$39
10764,"Wrecking Crews",22426,17295,sa873146,"Framber Valdez",DET,SP,$34
10764,"Wrecking Crews",23762,20454,sa919327,"Jazz Chisholm Jr.",NYY,2B/3B,$27
10764,"Wrecking Crews",46091,35323,sa3025686,"Roki Sasaki",LAD,SP,$27
10764,"Wrecking Crews",18368,16252,sa599179,"Trea Turner",PHI,SS,$20
10764,"Wrecking Crews",18407,15986,sa736655,"Willy Adames",SFG,SS,$19
10764,"Wrecking Crews",18389,13419,sa503826,"Christian Walker",HOU,1B,$18
10764,"Wrecking Crews",43950,33541,sa3022882,"Dylan Crews",WSN,OF,$17
10764,"Wrecking Crews",40188,29518,sa3016870,"James Wood",WSN,OF,$16
10764,"Wrecking Crews",23810,22201,sa3005068,"MacKenzie Gore",TEX,SP,$15
10764,"Wrecking Crews",23779,19291,sa857550,"Zac Gallen",ARI,SP,$12
10764,"Wrecking Crews",22048,17548,sa858832,"Taylor Ward",BAL,OF,$10
10764,"Wrecking Crews",38389,27790,sa3014490,"Evan Carter",TEX,OF,$10
10764,"Wrecking Crews",23793,19627,sa3003172,"Brent Rooker",ATH,OF,$10
10764,"Wrecking Crews",19904,15541,sa739036,"Tyler Rogers",TOR,RP,$8
10764,"Wrecking Crews",38327,27769,sa3014458,"Pete Crow-Armstrong",CHC,OF,$7
10764,"Wrecking Crews",33634,22186,sa3008294,"Brice Turang",MIL,2B,$7
10764,"Wrecking Crews",33620,25377,sa3008613,"Brady Singer",CIN,SP,$6
10764,"Wrecking Crews",39285,28820,sa3015713,"Moises Ballesteros","CHC AAA",C,$6
10764,"Wrecking Crews",9668,12552,sa505033,"Eugenio Suarez",CIN,3B,$6
10764,"Wrecking Crews",22078,30115,sa869798,"Robert Suarez",ATL,RP,$6
10764,"Wrecking Crews",22701,19924,sa874984,"Bryan Hudson",CHW,SP/RP,$5
10764,"Wrecking Crews",36669,25816,sa3010329,"Shea Langeliers",ATH,C,$5
10764,"Wrecking Crews",33395,20539,sa921576,"Edwin Uceta",TBR,RP,$5
10764,"Wrecking Crews",40820,30076,sa3017869,"Landen Roupp",SFG,SP,$5
10764,"Wrecking Crews",32611,19716,sa917992,"Dustin May",STL,SP,$5
10764,"Wrecking Crews",18619,15009,sa708446,"Kyle Finnegan",DET,RP,$5
10764,"Wrecking Crews",34601,21454,sa3006649,"Lars Nootbaar",STL,OF,$4
10764,"Wrecking Crews",42206,31765,sa3019905,"Nacho Alvarez Jr.","ATL AAA",3B,$3
10764,"Wrecking Crews",26783,20308,sa3004621,"Jake Meyers",HOU,OF,$3
10764,"Wrecking Crews",22725,20070,sa875033,"Bailey Falter","KCR AAA",SP/RP,$3
10764,"Wrecking Crews",38043,26440,sa3011818,"Ryan Gusto",MIA,SP/RP,$3
10764,"Wrecking Crews",33147,19392,sa918920,"Zach McKinstry",DET,2B/SS/3B/OF,$3
10764,"Wrecking Crews",40707,29960,sa3017690,"AJ Smith-Shawver",ATL,SP,$3
10764,"Wrecking Crews",25806,23395,sa3002875,"Eric Wagaman",NYM,1B/OF,$3
10764,"Wrecking Crews",35548,21267,sa3008097,"Jake Bird",NYY,RP,$3
10764,"Wrecking Crews",35618,21504,sa3008223,"Jake Irvin",WSN,SP,$3
10764,"Wrecking Crews",26080,21897,sa3003171,"Christopher Morel","NYM AAA",1B/OF,$2
10764,"Wrecking Crews",40301,29630,sa3017050,"Joey Loperfido",HOU,OF,$1
10764,"Wrecking Crews",42416,31912,sa3020219,"Chandler Simpson",TBR,OF,$1
10764,"Wrecking Crews",20917,16432,sa828674,"Foster Griffin",WSN,SP,$1
10818,"Bureau of Gleyber Statistics",36668,25764,sa3011225,"Bobby Witt Jr.",KCR,SS,$68
10818,"Bureau of Gleyber Statistics",18347,16478,sa709545,"Kyle Schwarber",PHI,OF,$55
10818,"Bureau of Gleyber Statistics",21015,17995,sa828873,"Logan Webb",SFG,SP,$31
10818,"Bureau of Gleyber Statistics",23840,19290,sa914549,"Randy Arozarena",SEA,OF,$24
10818,"Bureau of Gleyber Statistics",48239,37123,sa3063134,"Kazuma Okamoto",TOR,1B/3B,$22
10818,"Bureau of Gleyber Statistics",14893,11477,sa548190,"Christian Yelich",MIL,OF,$21
10818,"Bureau of Gleyber Statistics",33654,21534,sa3008377,"Cal Raleigh",SEA,C,$20
10818,"Bureau of Gleyber Statistics",14393,10603,sa392121,"Chris Sale",ATL,SP,$18
10818,"Bureau of Gleyber Statistics",18487,16997,sa830372,"Gleyber Torres",DET,2B,$17
10818,"Bureau of Gleyber Statistics",18479,17919,sa827194,"Ian Happ",CHC,OF,$17
10818,"Bureau of Gleyber Statistics",18517,16578,sa823741,"Yandy Diaz",TBR,1B,$13
10818,"Bureau of Gleyber Statistics",18113,12768,sa455516,"Sonny Gray",BOS,SP,$9
10818,"Bureau of Gleyber Statistics",34619,24679,sa3006675,"Brendan Donovan",SEA,2B/SS/3B/OF,$7
10818,"Bureau of Gleyber Statistics",44336,33703,sa3023053,"Nolan McLean",NYM,SP,$7
10818,"Bureau of Gleyber Statistics",42176,32127,sa3021053,"Chase DeLauter",CLE,OF,$5
10818,"Bureau of Gleyber Statistics",33548,20391,sa962605,"Luis García Jr.",WSN,1B/2B,$4
10818,"Bureau of Gleyber Statistics",37480,26151,sa1115829,"Kyle Stowers",MIA,1B/OF,$4
10818,"Bureau of Gleyber Statistics",31958,20352,sa915732,"Ernie Clement",TOR,1B/2B/SS/3B,$3
10818,"Bureau of Gleyber Statistics",12379,9777,sa500816,"Nolan Arenado",ARI,3B,$3
10818,"Bureau of Gleyber Statistics",42765,31986,sa3020748,"Parker Messick",CLE,SP,$3
10818,"Bureau of Gleyber Statistics",26134,22664,sa3003226,"Gabriel Moreno",ARI,C,$3
10818,"Bureau of Gleyber Statistics",42754,31959,sa3020737,"Jake Bennett",BOS,SP,$3
10818,"Bureau of Gleyber Statistics",40972,30182,sa3018149,"Will Warren",NYY,SP,$3
10818,"Bureau of Gleyber Statistics",33954,24878,sa3005630,"Heriberto Hernandez",MIA,OF,$2
10818,"Bureau of Gleyber Statistics",42582,31680,sa3020459,"Cole Young",SEA,2B/SS,$1
10818,"Bureau of Gleyber Statistics",40674,29957,sa3017626,"Edwin Arroyo",CIN,2B/SS,$1
10818,"Bureau of Gleyber Statistics",38780,24978,sa3015121,"Erik Sabrowski",CLE,RP,$1
10818,"Bureau of Gleyber Statistics",38325,27555,sa3014438,"Garrett Mitchell",MIL,OF,$1
10818,"Bureau of Gleyber Statistics",18421,13580,sa550187,"Steven Okert",HOU,RP,$1
10818,"Bureau of Gleyber Statistics",37202,27691,sa3010572,"Louis Varland",TOR,RP,$1
10818,"Bureau of Gleyber Statistics",30367,6107,sa657849,"Huascar Brazoban",NYM,SP/RP,$1
10818,"Bureau of Gleyber Statistics",32710,22361,sa918172,"Colin Holderman",CLE,RP,$1
10818,"Bureau of Gleyber Statistics",32726,22274,sa918192,"Samad Taylor",SDP,2B/OF,$1
10818,"Bureau of Gleyber Statistics",33622,21501,sa3008376,"Trevor Larnach",MIN,OF,$1
10818,"Bureau of Gleyber Statistics",33650,23690,sa3005898,"Brayan Rocchio",CLE,2B/SS,$1
10818,"Bureau of Gleyber Statistics",33651,22514,sa3007634,"Triston Casas",BOS,1B,$1
10818,"Bureau of Gleyber Statistics",23679,18655,sa659284,"A.J. Minter",NYM,RP,$1
10818,"Bureau of Gleyber Statistics",26976,20404,sa3004937,"Jared Young",NYM,1B/OF,$1
10818,"Bureau of Gleyber Statistics",22676,17969,sa874771,"Peter Lambert",HOU,SP,$1
10818,"Bureau of Gleyber Statistics",36046,26540,sa3008762,"Angel Martinez",CLE,2B/OF,$1
10818,"Bureau of Gleyber Statistics",8147,6902,sa455689,"Martin Perez",ATL,SP,$1
10881,"Look Out Bello",18344,17350,sa828312,"Rafael Devers",SFG,1B,$31
10881,"Look Out Bello",38736,27498,sa3015059,"Spencer Strider",ATL,SP,$22
10881,"Look Out Bello",23767,19612,sa917949,"Bo Bichette",NYM,SS/3B,$20
10881,"Look Out Bello",22391,20503,sa872847,"William Contreras",MIL,C,$20
10881,"Look Out Bello",18163,14161,sa657851,"Byron Buxton",MIN,OF,$18
10881,"Look Out Bello",23741,19959,sa917981,"Jesus Luzardo",PHI,SP,$16
10881,"Look Out Bello",44526,33829,sa3023346,"Shota Imanaga",CHC,SP,$15
10881,"Look Out Bello",38559,27768,sa3014807,"Eury Perez",MIA,SP,$15
10881,"Look Out Bello",18126,12927,sa597760,"Brandon Nimmo",TEX,OF,$14
10881,"Look Out Bello",19168,18679,sa737343,"Freddy Peralta",NYM,SP,$14
10881,"Look Out Bello",18359,16137,sa598286,"Carlos Rodon",NYY,SP,$14
10881,"Look Out Bello",22559,21029,sa873347,"Jhoan Duran",PHI,RP,$10
10881,"Look Out Bello",23613,14542,sa598491,"Carlos Estevez",KCR,RP,$9
10881,"Look Out Bello",18378,16505,sa828672,"Matt Chapman",SFG,3B,$8
10881,"Look Out Bello",33767,23920,sa3005436,"Brayan Bello","BOS AAA",SP,$8
10881,"Look Out Bello",31687,19352,sa873680,"Sean Murphy",ATL,C,$8
10881,"Look Out Bello",33656,20633,,"Yusei Kikuchi",LAA,SP,$7
10881,"Look Out Bello",37960,26396,sa3011703,"Josh Smith",TEX,1B/2B/SS/3B/OF,$6
10881,"Look Out Bello",33627,21479,sa3007867,"Nico Hoerner",CHC,2B/SS,$6
10881,"Look Out Bello",23809,22275,sa915698,"Jake Burger",TEX,1B,$5
10881,"Look Out Bello",27058,23772,sa3005082,"Wilyer Abreu",BOS,OF,$5
10881,"Look Out Bello",40675,29958,sa3017627,"Harry Ford","WSN AAA",C,$5
10881,"Look Out Bello",35808,24968,sa3008513,"Reese Olson",DET,SP,$5
10881,"Look Out Bello",40298,29622,sa3017047,"Sal Frelick",MIL,OF,$5
10881,"Look Out Bello",38378,28312,sa3014479,"Coby Mayo",BAL,1B/3B,$5
10881,"Look Out Bello",40389,29715,sa3017173,"Hunter Goodman",COL,C,$4
10881,"Look Out Bello",23788,19522,sa943754,"TJ Friedl",CIN,OF,$4
10881,"Look Out Bello",32009,22100,sa916702,"Jose Soriano",LAA,SP,$4
10881,"Look Out Bello",27185,20191,sa3005306,"Garrett Whitlock",BOS,RP,$4
10881,"Look Out Bello",38330,27756,sa3014534,"Mick Abel","MIN AAA",SP,$3
10881,"Look Out Bello",37181,26123,sa3010869,"Brett Baty",NYM,1B/2B/3B/OF,$3
10881,"Look Out Bello",31572,19901,sa829797,"Gavin Sheets",SDP,1B/OF,$3
10881,"Look Out Bello",23639,19956,sa917920,"Mickey Moniak",COL,OF,$3
10881,"Look Out Bello",34804,20178,sa3006896,"Miguel Vargas",CHW,1B/3B,$3
10881,"Look Out Bello",34103,24094,sa3005835,"Ronny Henriquez",MIA,RP,$3
10881,"Look Out Bello",18459,16943,sa709548,"Sean Newcomb",CHW,SP/RP,$3
10881,"Look Out Bello",40398,29646,sa3017183,"Caleb Durbin",BOS,2B/3B,$2
10881,"Look Out Bello",42538,31760,sa3020395,"JR Ritchie","ATL AAA",SP,$2
10881,"Look Out Bello",44039,33253,sa3022596,"Cole Carrigg",COL,OF,$2
10881,"Look Out Bello",18152,13145,sa597768,"Josh Bell",MIN,1B,$1
10881,"Look Out Bello",33669,21537,sa3007588,"Daniel Lynch IV",KCR,RP,$1
10881,"Look Out Bello",23787,13619,sa602414,"Jakob Junis",TEX,RP,$1
10881,"Look Out Bello",26446,19769,sa3004101,"Will Vest",DET,RP,$1
10881,"Look Out Bello",31505,21306,sa829008,"Jacob Latz",TEX,SP/RP,$1
